   21.7     0.44   6.115  -0.2976
   21.7     0.46   6.155  -0.2960
   21.7     0.19   6.196  -0.3039
   21.9     0.47   6.236  -0.3009
   22.0     0.22   6.279  -0.3113
   22.0     0.43   6.319  -0.3678
   22.0    -0.01   6.360  -0.3774
   22.1     0.07   6.402  -0.3731
   22.5     0.57   6.442  -0.3563
   22.5     0.68   6.480  -0.3496
   22.4    -0.06   6.520  -0.3555
   22.2    -0.19   6.562  -0.3778
   22.5     0.55   6.602  -0.3952
   22.7     0.31   6.644  -0.4064
   22.6     0.09   6.686  -0.3964
   22.8     0.41   6.725  -0.3959
   22.9     0.03   6.765  -0.4069
   23.0     0.39   6.805  -0.4108
   23.0     0.04   6.848  -0.4220
   23.2     0.56   6.888  -0.4137
   23.1     0.26   6.932  -0.4189
   23.2     0.19   6.971  -0.4174
   23.3     0.23   7.013  -0.4180
   23.4     0.03   7.054  -0.4134
   23.6     0.39   7.095  -0.4195
   23.6     0.20   7.137  -0.4144
   23.7     0.13   7.179  -0.4274
   23.8     0.33   7.224  -0.4024
   23.9     0.13   7.269  -0.3909
   24.0     0.32   7.312  -0.3829
   24.0     0.21   7.355  -0.3803
   24.1     0.33   7.397  -0.3896
   24.1     0.18   7.440  -0.4219
   24.1    -0.02   7.481  -0.4031
   24.3     0.04   7.523  -0.4016
   24.3     0.09   7.566  -0.4130
   24.5     0.16   7.608  -0.4259
   24.5    -0.05   7.651  -0.3945
   24.7     0.31   7.696  -0.4187
   24.7     0.07   7.739  -0.4126
   24.8     0.40   7.783  -0.4076
   24.8     0.04   7.824  -0.4400
   25.0     0.14   7.865  -0.4389
   25.0     0.52   7.908  -0.4082
   24.9    -0.11   7.949  -0.4037
   25.2     0.07   7.990  -0.4108
   25.3     0.51   8.032  -0.4237
   25.3    -0.17   8.073  -0.4517
   25.2    -0.28   8.113  -0.4792
   25.4    -0.09   8.154  -0.4752
   25.7    -0.03   8.195  -0.4929
   25.5    -0.05   8.235  -0.4890
   25.8     0.42   8.276  -0.4672
   25.8    -0.22   8.317  -0.4189
   25.9    -0.04   8.356  -0.4652
   25.9     0.14   8.399  -0.4845
   26.0    -0.05   8.441  -0.4877
   26.1    -0.03   8.481  -0.4840
   26.2     0.18   8.522  -0.4773
   26.3    -0.04   8.562  -0.4802
   26.4     0.19   8.602  -0.4933
   26.5    -0.06   8.643  -0.4914
   26.4    -0.14   8.682  -0.4848
   26.5    -0.16   8.721  -0.4875
   26.7     0.11   8.759  -0.4947
   26.7    -0.27   8.800  -0.4871
   26.8    -0.11   8.843  -0.4849
   26.9    -0.30   8.887  -0.4836
   27.0     0.09   8.928  -0.4745
   27.1    -0.08   8.972  -0.4763
   27.1    -0.15   9.015  -0.4767
   27.2    -0.05   9.060  -0.4635
   27.4     0.03   9.108  -0.4751
   27.4    -0.20   9.152  -0.4532
   27.5    -0.20   9.193  -0.4486
   27.6    -0.08   9.232  -0.4511
   27.8     0.03   9.272  -0.4672
   27.8    -0.09   9.315  -0.4798
   27.9     0.14   9.357  -0.4741
   28.0    -0.29   9.398  -0.4779
   28.0    -0.22   9.439  -0.4742
   28.1    -0.34   9.480  -0.4645
   28.4     0.18   9.521  -0.4632
   28.4     0.30   9.563  -0.4679
   28.5     0.03   9.604  -0.4695
   28.6    -0.03   9.645  -0.4424
   28.9     0.46   9.685  -0.4507
   28.8     0.21   9.726  -0.4489
   28.8    -0.03   9.767  -0.4616
   29.0     0.29   9.809  -0.4687
   29.0    -0.05   9.850  -0.4620
   29.1    -0.19   9.891  -0.4736
   29.2    -0.03   9.933  -0.4711
   29.2     0.12   9.972  -0.4747
   29.2    -0.32  10.012  -0.4902
   29.6     0.09  10.052  -0.4844
   29.5     0.04  10.093  -0.4781
   29.5    -0.26  10.135  -0.4720
   29.8     0.07  10.176  -0.5052
   29.9    -0.25  10.215  -0.5169
   29.8    -0.22  10.257  -0.5147
   30.0     0.09  10.295  -0.4938
   30.1    -0.28  10.335  -0.5092
   30.0    -0.29  10.376  -0.5246
   30.1    -0.28  10.418  -0.5240
   30.2    -0.20  10.459  -0.5250
   30.4     0.17  10.500  -0.5293
   30.4    -0.09  10.540  -0.5215
   30.5    -0.22  10.580  -0.5318
   30.7    -0.10  10.620  -0.5386
   30.7    -0.34  10.660  -0.5328
   30.8    -0.33  10.703  -0.5200
   30.9    -0.22  10.746  -0.5121
   31.0     0.58  10.790  -0.5119
   31.1    -0.12  10.835  -0.5135
   31.1    -0.31  10.879  -0.5099
   31.3    -0.30  10.922  -0.5193
   31.4    -0.06  10.964  -0.5138
   31.5     0.14  11.004  -0.5243
   31.5    -0.17  11.046  -0.5142
   31.5    -0.27  11.087  -0.5263
   31.6    -0.52  11.129  -0.5456
   31.7    -0.12  11.170  -0.5439
   31.8    -0.05  11.210  -0.5417
   32.0    -0.20  11.250  -0.5426
   32.1    -0.10  11.292  -0.5530
   32.1    -0.45  11.332  -0.5515
   32.2    -0.36  11.374  -0.5486
   32.4    -0.16  11.415  -0.5530
   32.4     0.00  11.455  -0.5596
   32.5    -0.18  11.496  -0.5553
   32.6     0.06  11.537  -0.5519
   32.9    -0.08  11.577  -0.5517
   32.8    -0.21  11.619  -0.5597
   32.7    -0.64  11.660  -0.5541
   33.0    -0.21  11.700  -0.5550
   33.1    -0.04  11.742  -0.5625
   33.2    -0.01  11.783  -0.5562
   33.4     0.08  11.822  -0.5560
   33.3    -0.31  11.864  -0.5553
   33.4    -0.35  11.904  -0.5554
   33.4    -0.20  11.946  -0.5560
   33.7     0.07  11.987  -0.5593
   33.8     0.13  12.028  -0.5557
   33.7    -0.30  12.069  -0.5531
   33.8    -0.11  12.110  -0.5541
   33.9    -0.04  12.148  -0.5512
   33.8    -0.74  12.191  -0.5523
   34.1    -0.52  12.232  -0.5575
   34.4    -0.08  12.271  -0.5571
   34.3    -0.44  12.311  -0.5563
   34.3    -0.15  12.351  -0.5598
   34.6    -0.12  12.392  -0.5587
   34.7     0.01  12.434  -0.5354
