   14.6     0.83   0.027  -0.0029
   14.5     0.85   0.054  -0.0054
   14.5     0.84   0.080  -0.0056
   14.6     0.85   0.108  -0.0045
   14.5     0.84   0.134  -0.0053
   14.5     0.86   0.161  -0.0064
   14.5     0.85   0.188  -0.0059
   14.5     0.83   0.215  -0.0073
   14.6     0.79   0.241  -0.0055
   14.6     0.81   0.268  -0.0017
   14.5     0.82   0.296  -0.0015
   14.5     0.81   0.332  -0.0044
   14.5     0.78   0.359  -0.0039
   14.4     0.76   0.388  -0.0046
   14.4     0.75   0.415  -0.0031
   14.4     0.73   0.442  -0.0049
   14.4     0.70   0.470  -0.0057
   14.3     0.72   0.497  -0.0058
   14.3     0.71   0.524  -0.0044
   14.4     0.68   0.551  -0.0060
   14.4     0.68   0.579  -0.0067
   14.5     0.68   0.607  -0.0052
   14.4     0.64   0.634  -0.0054
   14.3     0.64   0.660  -0.0043
   14.4     0.67   0.688  -0.0030
   14.4     0.66   0.714  -0.0041
   14.4     0.66   0.741  -0.0087
   14.4     0.66   0.768  -0.0095
   14.4     0.67   0.795  -0.0060
   14.4     0.63   0.821  -0.0091
   14.3     0.62   0.849  -0.0137
   14.4     0.63   0.876  -0.0101
   14.3     0.61   0.903  -0.0075
   14.4     0.60   0.930  -0.0069
   14.3     0.61   0.957  -0.0121
   14.4     0.60   0.984  -0.0113
   14.3     0.59   1.011  -0.0141
   14.3     0.59   1.037  -0.0124
   14.3     0.59   1.064  -0.0116
   14.3     0.57   1.091  -0.0101
   14.2     0.55   1.118  -0.0114
   14.2     0.57   1.145  -0.0144
   14.3     0.54   1.172  -0.0140
   14.3     0.56   1.199  -0.0141
   14.2     0.55   1.226  -0.0115
   14.3     0.53   1.253  -0.0095
   14.3     0.54   1.280  -0.0075
   14.2     0.51   1.306  -0.0054
   14.2     0.49   1.333  -0.0077
   14.2     0.51   1.359  -0.0084
   14.2     0.53   1.386  -0.0074
   14.1     0.48   1.413  -0.0098
   14.2     0.47   1.440  -0.0096
   14.1     0.47   1.467  -0.0064
   14.2     0.47   1.494  -0.0073
   14.1     0.48   1.521  -0.0077
   14.1     0.49   1.548   0.0026
   14.3     0.49   1.575  -0.0037
   14.2     0.43   1.602  -0.0126
   14.2     0.46   1.630  -0.0125
   14.2     0.48   1.656  -0.0127
   14.1     0.44   1.683  -0.0116
   14.1     0.45   1.710  -0.0166
   14.2     0.45   1.737  -0.0120
   14.1     0.45   1.764  -0.0134
   14.2     0.50   1.791  -0.0051
   14.2     0.47   1.818   0.0005
   14.2     0.41   1.845   0.0014
   14.1     0.42   1.871  -0.0006
   14.1     0.41   1.898  -0.0017
   14.0     0.32   1.925  -0.0042
   13.9     0.36   1.951  -0.0240
   14.0     0.36   1.979  -0.0175
   14.0     0.35   2.005  -0.0140
   14.0     0.36   2.032  -0.0128
   14.0     0.36   2.060  -0.0120
   14.0     0.35   2.087  -0.0141
   14.1     0.34   2.113  -0.0165
   14.1     0.32   2.140  -0.0154
   13.9     0.31   2.167  -0.0117
   13.9     0.29   2.195  -0.0151
   13.9     0.33   2.221  -0.0170
   14.0     0.33   2.248  -0.0181
   13.9     0.32   2.274  -0.0237
   13.9     0.32   2.301  -0.0198
   13.9     0.30   2.329  -0.0189
   13.9     0.30   2.356  -0.0148
   13.9     0.34   2.382  -0.0133
   14.0     0.32   2.409  -0.0127
   13.9     0.30   2.436  -0.0104
   13.9     0.32   2.463  -0.0082
   13.9     0.29   2.490  -0.0088
   13.9     0.27   2.517  -0.0113
   14.0     0.28   2.544  -0.0121
   13.9     0.32   2.571  -0.0130
   13.9     0.30   2.598  -0.0119
   13.9     0.28   2.626  -0.0110
   13.8     0.30   2.652  -0.0152
