19.1	-0.00082925	2.54	0.12
19.18	-0.000670952380952381	2.41	0.34
19.17	-0.000794571428571429	2.28	0.54
19.09	-0.00104028571428571	2.17	0.74
19.09	-0.00138695238095238	2.09	0.96
19.1	-0.00181714285714286	2	1.17
19.07	-0.00234257142857143	1.94	1.38
19	-0.00267166666666667	1.89	1.59
19.04	-0.0025232380952381	1.85	1.79
19.08	-0.00266552380952381	1.83	1.99
19.11	-0.00288066666666667	1.82	2.2
19.1	-0.00284647619047619	1.82	2.4
19.18	-0.00275371428571429	1.83	2.61
19.29	-0.00267876190476191	1.85	2.81
19.46	-0.0028347619047619	1.87	3.01
19.73	-0.0030495	1.91	3.23
20.04	-0.00320066666666667	1.95	3.43
20.54	-0.00314828571428571	2	3.64
20.97	-0.00313590476190476	2.05	3.84
21.59	-0.00338523809523809	2.1	4.04
22.36	-0.00364419047619048	2.15	4.26
23.2	-0.00389885714285714	2.22	4.46
24.14	-0.0042907619047619	2.29	4.66
25.23	-0.00456333333333333	2.37	4.88
26.39	-0.00468571428571429	2.44	5.08
27.61	-0.00471066666666667	2.51	5.28
28.89	-0.00478371428571429	2.59	5.48
30.25	-0.00489638095238095	2.67	5.68
31.71	-0.00500590476190476	2.75	5.89
33.31	-0.00528114285714286	2.84	6.1
34.92	-0.00548691666666667	2.91	6.3
36.66	-0.00561971428571429	3	6.51
38.31	-0.00592190476190476	3.07	6.71
40.06	-0.00635047619047619	3.13	6.91
41.77	-0.00668304761904762	3.2	7.12
43.54	-0.0069147619047619	3.26	7.32
45.49	-0.00718047619047619	3.32	7.53
47.34	-0.00751942857142857	3.37	7.73
49.2	-0.00809133333333333	3.42	7.93
51.24	-0.00875933333333333	3.47	8.15
53.09	-0.0092667619047619	3.52	8.35
54.94	-0.00961914285714286	3.56	8.55
56.84	-0.00986038095238095	3.58	8.75
58.73	-0.0103494285714286	3.61	8.96
60.83	-0.0107048571428571	3.63	9.17
62.77	-0.0110874285714286	3.64	9.37
64.76	-0.0116643333333333	3.64	9.58
66.96	-0.0121101904761905	3.62	9.79
69	-0.0124939047619048	3.6	9.99
70.91	-0.012776	3.57	10.19
72.87	-0.0129257142857143	3.52	10.4
74.83	-0.0129331428571429	3.46	10.6
76.96	-0.0129851428571429	3.4	10.81
78.99	-0.0132269166666667	3.32	11.01
80.92	-0.0135658095238095	3.24	11.21
83.1	-0.0139128571428571	3.14	11.43
85.09	-0.0143230476190476	3.04	11.63
87.12	-0.0146781904761905	2.93	11.83
89.19	-0.0149444761904762	2.81	12.03
91.16	-0.0150031428571429	2.69	12.23
93.25	-0.0150201904761905	2.56	12.45
95.23	-0.0150373333333333	2.43	12.65
97.21	-0.0149470476190476	2.31	12.85
99.3	-0.0150926666666667	2.19	13.07
101.24	-0.0151401904761905	2.08	13.27
103.21	-0.0152007619047619	1.97	13.47
105.2	-0.0154210476190476	1.87	13.67
107.21	-0.0155643809523809	1.79	13.87
109.34	-0.0158711428571429	1.72	14.09
111.41	-0.0163371666666667	1.65	14.3
113.55	-0.0168947619047619	1.6	14.51
115.71	-0.0172894285714286	1.56	14.73
117.74	-0.0176992380952381	1.52	14.93
119.76	-0.0178492380952381	1.5	15.13
121.7	-0.0179119047619048	1.49	15.34
123.76	-0.0178893333333333	1.5	15.54
125.86	-0.01792375	1.51	15.75
127.86	-0.0179019047619048	1.54	15.95
129.75	-0.0181059047619048	1.59	16.16
131.85	-0.018245619047619	1.64	16.37
133.91	-0.0186324761904762	1.7	16.57
135.9	-0.0190795238095238	1.78	16.78
138.11	-0.0195500952380952	1.87	16.99
140.19	-0.02012	1.96	17.19
142.2	-0.0208276666666667	2.06	17.39
144.26	-0.0213938095238095	2.16	17.6
146.32	-0.0220878095238095	2.26	17.8
148.56	-0.0225325714285714	2.37	18.01
150.57	-0.0229906666666667	2.47	18.21
152.69	-0.022974	2.58	18.41
154.89	-0.0228138095238095	2.7	18.63
156.99	-0.0227008571428571	2.8	18.83
159.07	-0.0227395833333333	2.92	19.03
161.11	-0.0229029523809524	3.04	19.23
163.2	-0.0232102857142857	3.15	19.44
165.45	-0.0236563809523809	3.26	19.65
167.57	-0.0241591428571429	3.37	19.85
169.7	-0.0245051428571429	3.48	20.06
171.91	-0.0249555238095238	3.59	20.27
174	-0.0253997142857143	3.69	20.48
176.1	-0.0257418333333333	3.8	20.68
178.2	-0.0259626666666667	3.9	20.88
180.24	-0.0263011428571428	4.01	21.08
182.49	-0.0265740952380952	4.11	21.3
184.57	-0.0268295238095238	4.2	21.5
186.65	-0.0268353333333333	4.3	21.7
188.89	-0.0267808571428571	4.4	21.92
190.94	-0.0267121666666667	4.5	22.12
193.07	-0.0268129523809524	4.59	22.32
195.16	-0.0272592380952381	4.69	22.52
197.2	-0.0279778095238095	4.79	22.73
199.41	-0.0285966666666667	4.9	22.94
201.56	-0.0292388571428571	5.01	23.14
203.53	-0.0300523809523809	5.12	23.35
