"f1","f2","f3"
19.51425,-0.00082925,2.18099166666667
19.6757142857143,-0.000670952380952381,2.11418095238095
19.8633333333333,-0.000794571428571429,2.0595619047619
20.0941904761905,-0.00104028571428571,2.01698095238095
20.3708571428571,-0.00138695238095238,1.98467619047619
20.6964761904762,-0.00181714285714286,1.96113333333333
21.0744761904762,-0.00234257142857143,1.94819047619048
21.5420833333333,-0.00267166666666667,1.945625
22.077619047619,-0.0025232380952381,1.95234285714286
22.6390476190476,-0.00266552380952381,1.9646
23.2637142857143,-0.00288066666666667,1.98499047619048
23.9571428571429,-0.00284647619047619,2.01158095238095
24.7205714285714,-0.00275371428571429,2.0459619047619
25.5534285714286,-0.00267876190476191,2.08777142857143
26.4559047619048,-0.0028347619047619,2.13342857142857
27.5005833333333,-0.0030495,2.18761666666667
28.6181904761905,-0.00320066666666667,2.24701904761905
29.7312380952381,-0.00314828571428571,2.30567619047619
30.9075238095238,-0.00313590476190476,2.36680952380952
32.142380952381,-0.00338523809523809,2.42761904761905
33.4384761904762,-0.00364419047619048,2.49175238095238
34.7898095238095,-0.00389885714285714,2.55959047619047
36.1920952380952,-0.0042907619047619,2.62869523809524
37.7431666666667,-0.00456333333333333,2.70029166666667
39.3418095238095,-0.00468571428571429,2.77050476190476
40.8737142857143,-0.00471066666666667,2.8354
42.4387619047619,-0.00478371428571429,2.90004761904762
44.0393333333333,-0.00489638095238095,2.96449523809524
45.6690476190476,-0.00500590476190476,3.02707619047619
47.3298095238095,-0.00528114285714286,3.08831428571429
49.1416666666667,-0.00548691666666667,3.15599166666667
50.9810476190476,-0.00561971428571429,3.22112380952381
52.7120952380952,-0.00592190476190476,3.27588571428571
54.4575238095238,-0.00635047619047619,3.32400952380952
56.2172380952381,-0.00668304761904762,3.36742857142857
57.9895238095238,-0.0069147619047619,3.40607619047619
59.7759047619048,-0.00718047619047619,3.44115238095238
61.5737142857143,-0.00751942857142857,3.46923809523809
63.5100833333333,-0.00809133333333333,3.4915
65.456,-0.00875933333333333,3.50671428571429
67.2781904761904,-0.0092667619047619,3.51433333333334
69.1121904761904,-0.00961914285714286,3.51655238095238
70.9497142857143,-0.00986038095238095,3.5096380952381
72.7909523809524,-0.0103494285714286,3.49435238095238
74.6382857142857,-0.0107048571428571,3.47285714285714
76.4884761904762,-0.0110874285714286,3.44476190476191
78.47675,-0.0116643333333333,3.407025
80.4673333333333,-0.0121101904761905,3.3600380952381
82.3224761904762,-0.0124939047619048,3.30666666666667
84.1792380952381,-0.012776,3.24581904761905
86.0339047619048,-0.0129257142857143,3.17631428571429
87.8869523809524,-0.0129331428571429,3.09771428571429
89.7395238095238,-0.0129851428571429,3.01338095238095
91.7288333333334,-0.0132269166666667,2.91924166666666
93.7274285714286,-0.0135658095238095,2.82322857142857
95.5970476190476,-0.0139128571428571,2.73056190476191
97.4692380952381,-0.0143230476190476,2.63754285714286
99.3414285714286,-0.0146781904761905,2.54297142857143
101.213523809524,-0.0149444761904762,2.44893333333334
103.085142857143,-0.0150031428571429,2.3572380952381
104.95819047619,-0.0150201904761905,2.26744761904762
106.9635,-0.0150373333333333,2.17530833333333
108.963523809524,-0.0149470476190476,2.08407619047619
110.826095238095,-0.0150926666666667,2.00244761904762
112.688380952381,-0.0151401904761905,1.92640952380953
114.553714285714,-0.0152007619047619,1.85938095238095
116.421523809524,-0.0154210476190476,1.80077142857143
118.29180952381,-0.0155643809523809,1.75027619047619
120.166571428571,-0.0158711428571429,1.70995238095238
122.18025,-0.0163371666666667,1.67805833333334
124.198476190476,-0.0168947619047619,1.65794285714286
126.085047619048,-0.0172894285714286,1.65088571428571
127.974857142857,-0.0176992380952381,1.65390476190476
129.867333333333,-0.0178492380952381,1.66597142857143
131.759714285714,-0.0179119047619048,1.68701904761905
133.652,-0.0178893333333333,1.71658095238095
135.67875,-0.01792375,1.756525
137.709333333333,-0.0179019047619048,1.80521904761905
139.605523809524,-0.0181059047619048,1.85714285714286
141.505523809524,-0.018245619047619,1.91665714285714
143.410380952381,-0.0186324761904762,1.98295238095238
145.317238095238,-0.0190795238095238,2.05544761904762
147.231428571429,-0.0195500952380952,2.13408571428571
149.150952380952,-0.02012,2.21867619047619
151.217916666667,-0.0208276666666667,2.31679166666667
153.289428571429,-0.0213938095238095,2.42032380952381
155.225333333333,-0.0220878095238095,2.51904761904762
157.166,-0.0225325714285714,2.61882857142857
159.106380952381,-0.0229906666666667,2.71959047619048
161.047523809524,-0.022974,2.82032380952381
162.991047619048,-0.0228138095238095,2.92163809523809
164.935619047619,-0.0227008571428571,3.02282857142857
167.02175,-0.0227395833333333,3.13235
169.107714285714,-0.0229029523809524,3.24147619047619
171.054380952381,-0.0232102857142857,3.34278095238095
173.004761904762,-0.0236563809523809,3.44678095238095
174.954952380952,-0.0241591428571429,3.54956190476191
176.903619047619,-0.0245051428571429,3.65000952380953
178.851142857143,-0.0249555238095238,3.74899047619048
180.799714285714,-0.0253997142857143,3.84854285714286
182.888666666667,-0.0257418333333333,3.95389166666667
184.972571428571,-0.0259626666666667,4.05658095238095
186.917904761905,-0.0263011428571428,4.15469523809524
188.860476190476,-0.0265740952380952,4.25170476190476
190.802476190476,-0.0268295238095238,4.35135238095238
192.742190476191,-0.0268353333333333,4.45262857142858
194.682,-0.0267808571428571,4.55602857142858
196.755916666667,-0.0267121666666667,4.66515833333334
198.830190476191,-0.0268129523809524,4.77763809523809
200.769904761905,-0.0272592380952381,4.8873619047619
202.711238095238,-0.0279778095238095,4.99842857142857
204.652952380952,-0.0285966666666667,5.11174285714286
206.599904761905,-0.0292388571428571,5.23045714285714
208.549047619048,-0.0300523809523809,5.3506380952381
210.498285714286,-0.0308013333333333,5.46987619047619
212.58225,-0.03172925,5.59546666666667
214.666761904762,-0.0325727619047619,5.71802857142857
216.613619047619,-0.0332992380952381,5.83476190476191
218.566,-0.0340813333333333,5.9534380952381
220.522,-0.0348365714285714,6.07177142857143
222.481238095238,-0.0356829523809524,6.19068571428571
224.443904761905,-0.0368467619047619,6.31123809523809
226.414857142857,-0.0380904761904762,6.43441904761905
228.532083333333,-0.0392245,6.56465
230.656,-0.0405468571428572,6.69528571428571
232.641523809524,-0.0420273333333334,6.81546666666667
234.632857142857,-0.0437301904761905,6.93425714285714
236.629333333333,-0.0454932380952381,7.05251428571429
238.633333333333,-0.0473017142857143,7.17186666666667
240.638857142857,-0.0492975238095238,7.28894285714286
242.788333333333,-0.0512225,7.40920833333333
244.941428571429,-0.0531457142857143,7.52768571428572
