 17.7 2.33 0.039 0.0004
 17.8 2.63 0.081 -0.0044
 17.8 2.7 0.12 0.0001
 17.7 2.32 0.159 -0.0057
 17.8 2.33 0.199 -0.0056
 17.7 2.06 0.237 -0.0043
 17.8 2.06 0.277 -0.0084
 17.8 2.34 0.316 -0.0061
 17.9 2.54 0.355 -0.0011
 17.8 1.95 0.394 -0.0048
 17.9 2.29 0.434 -0.0063
 17.8 1.94 0.473 -0.0014
 17.9 2.2 0.512 -0.0047
 17.9 2.16 0.551 -0.0055
 18 2.49 0.59 -0.0055
 18 2.11 0.629 -0.0123
 17.9 1.91 0.669 -0.0105
 18 2.07 0.709 -0.0084
 18 2.06 0.749 -0.0146
 18.1 2.57 0.79 -0.0039
 18.2 2.54 0.83 -0.0107
 18.1 2.14 0.871 -0.0078
 18.1 2.21 0.908 -0.0004
 18 1.95 0.951 -0.0094
 18.1 1.94 0.993 -0.0029
 18.1 1.99 1.033 -0.0091
 18.2 2.03 1.072 -0.0102
 18.3 2.42 1.11 -0.0052
 18.1 1.93 1.15 -0.0143
 18.3 2.25 1.192 -0.0094
 18.3 2.08 1.234 -0.013
 18.4 2.19 1.275 -0.0171
 18.3 2.07 1.315 -0.0149
 18.3 1.97 1.357 -0.0263
 18.4 2.08 1.398 -0.0216
 18.5 2.29 1.44 -0.0194
 18.5 2.2 1.48 -0.0282
 18.5 2.16 1.522 -0.0235
 18.5 1.92 1.564 -0.0285
 18.6 1.85 1.607 -0.0338
 18.6 1.9 1.651 -0.0302
 18.7 1.79 1.695 -0.0356
 18.8 2.21 1.738 -0.0304
 18.8 2.02 1.783 -0.03
 18.8 2.1 1.827 -0.0368
 18.7 1.67 1.87 -0.0279
 19 1.99 1.913 -0.0336
 19 2.01 1.957 -0.0279
 19.2 2.3 2 -0.0299
 19.1 2.18 2.042 -0.0322
 19.1 1.81 2.081 -0.0269
 19.3 2.31 2.123 -0.0331
 19.2 1.81 2.165 -0.0285
 19.3 2.09 2.207 -0.0329
 19.5 2 2.251 -0.0306
 19.6 2.09 2.291 -0.023
 19.6 1.93 2.332 -0.0293
 19.7 2.13 2.374 -0.0259
 19.8 2.17 2.414 -0.0243
 19.9 2.09 2.454 -0.0369
 20 2.27 2.498 -0.0349
 20.2 2.34 2.541 -0.0345
 20.1 1.84 2.584 -0.0386
 20.4 2.23 2.627 -0.0294
 20.7 2.47 2.671 -0.0336
 20.7 2.47 2.714 -0.0369
 20.8 2.43 2.756 -0.0313
 20.8 2.21 2.799 -0.0422
 20.8 1.86 2.84 -0.0347
 21.1 2.18 2.881 -0.0419
 21.2 2.3 2.922 -0.0405
 21.4 2.26 2.965 -0.0389
 21.6 2.43 3.008 -0.0431
 21.7 2.23 3.05 -0.0377
 21.9 2.47 3.092 -0.0355
 22 2.24 3.132 -0.0416
 22.2 2.24 3.176 -0.0394
 22.3 2.21 3.216 -0.0337
 22.5 1.98 3.258 -0.0443
 22.8 2.44 3.299 -0.0354
 22.9 2.13 3.341 -0.0343
 23.2 2.66 3.386 -0.0426
 23.2 2.38 3.429 -0.0342
 23.5 2.26 3.47 -0.0412
 23.6 2.2 3.51 -0.0437
 23.7 2.02 3.551 -0.0391
 24 2.05 3.59 -0.0394
 24.3 2.54 3.631 -0.0452
 24.7 2.85 3.67 -0.0354
 24.8 2.56 3.709 -0.0391
 25 2.57 3.754 -0.046
 25.2 2.5 3.797 -0.0416
 25.4 2.25 3.839 -0.0515
 25.7 2.38 3.882 -0.0471
 25.9 2.54 3.922 -0.0418
 26.2 2.43 3.965 -0.0505
 26.3 2.05 4.01 -0.0463
 26.8 2.68 4.051 -0.0451
 26.9 2.45 4.095 -0.0455
 27.2 2.45 4.139 -0.0379
 27.4 2.07 4.183 -0.0493
 27.7 2.13 4.228 -0.0436
 28.1 2.53 4.274 -0.0485
 28.5 2.34 4.318 -0.0441
 28.6 2.38 4.362 -0.0438
 29.1 2.28 4.407 -0.0498
 29.4 2.76 4.452 -0.0464
 29.6 2.58 4.495 -0.0478
 30 2.39 4.541 -0.0514
 30.3 2.57 4.586 -0.044
 30.6 2.34 4.629 -0.0479
 30.9 2.6 4.673 -0.0513
 31.2 2.38 4.718 -0.0413
 31.7 2.57 4.762 -0.0443
 31.9 2.69 4.806 -0.0384
 32.1 2.08 4.849 -0.0349
 32.6 2.39 4.895 -0.0471
 33 2.65 4.94 -0.0398
 33.1 2.28 4.984 -0.0432
 33.6 2.22 5.027 -0.0496
 34 2.6 5.07 -0.046
 34.3 2.65 5.112 -0.0502
 34.7 2.34 5.155 -0.0558
 35 2.5 5.197 -0.0547
 35.4 2.26 5.24 -0.0552
 35.6 2.39 5.282 -0.0612
 35.9 2.28 5.325 -0.0577
 36.5 2.67 5.366 -0.0538
 36.7 2.05 5.408 -0.0563
 37 2.19 5.45 -0.0559
 37.4 2.1 5.492 -0.0473
 37.8 1.91 5.533 -0.0494
 38.2 2.37 5.575 -0.054
 38.6 2.67 5.616 -0.0466
 38.9 2.56 5.656 -0.0455
 39.2 2.68 5.699 -0.052
 39.7 2.53 5.739 -0.0487
 40 2.32 5.78 -0.0479
 40.2 1.98 5.824 -0.05
 40.7 2.17 5.866 -0.0473
 41.2 2.46 5.909 -0.0443
 41.4 2.09 5.951 -0.0483
 41.9 2.5 5.994 -0.0404
 42.1 1.96 6.037 -0.0448
 42.5 1.89 6.081 -0.0478
 43.1 2.55 6.122 -0.0386
 43.4 2.03 6.164 -0.0503
 43.8 2.16 6.204 -0.0461
 44 1.67 6.243 -0.0432
 44.5 1.96 6.285 -0.0525
